rule,count
pmd:AvoidRethrowingException,31
squid:S1210,31
checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.LocalFinalVariableNameCheck,31
squid:S3066,30
squid:S1158,30
findbugs:IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,28
findbugs:DLS_DEAD_LOCAL_STORE,28
squid:S1994,26
squid:S00114,26
squid:S2183,24
squid:S3034,24
findbugs:WMI_WRONG_MAP_ITERATOR,24
findbugs:URF_UNREAD_FIELD,24
squid:S2111,24
squid:S1171,23
squid:S1153,23
findbugs:NP_NULL_ON_SOME_PATH,22
findbugs:ES_COMPARING_STRINGS_WITH_EQ,21
squid:S2976,21
squid:S2444,21
findbugs:SBSC_USE_STRINGBUFFER_CONCATENATION,21
findbugs:LI_LAZY_INIT_STATIC,20
pmd:UseArrayListInsteadOfVector,20
squid:S1598,20
squid:S1860,19
squid:S1850,19
squid:S2674,19
checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.EqualsHashCodeCheck,18
squid:S1220,18
findbugs:NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,17
findbugs:BC_VACUOUS_INSTANCEOF,17
squid:S2274,17
checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalThrowsCheck,17
squid:ObjectFinalizeOverridenCheck,16
squid:S2178,16
squid:S2062,15
squid:S2189,15
findbugs:BX_UNBOXING_IMMEDIATELY_REBOXED,14
squid:S1640,14
squid:S2737,14
pmd:UseArraysAsList,14
pmd:NcssTypeCount,13
findbugs:MS_CANNOT_BE_FINAL,13
squid:S2188,13
findbugs:RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,13
squid:S1698,13
pmd:ExceptionAsFlowControl,13
findbugs:SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,12
squid:S2092,12
findbugs:REC_CATCH_EXCEPTION,12
squid:S2112,12
checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.EmptyStatementCheck,12
pmd:BooleanInstantiation,12
findbugs:EQ_DOESNT_OVERRIDE_EQUALS,11
findbugs:OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,11
squid:S2440,11
squid:S2140,11
findbugs:DE_MIGHT_IGNORE,11
squid:S1150,11
squid:S2097,10
findbugs:HE_EQUALS_USE_HASHCODE,10
findbugs:OS_OPEN_STREAM,10
squid:S2441,10
findbugs:STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,9
pmd:CloneThrowsCloneNotSupportedException,9
findbugs:NP_LOAD_OF_KNOWN_NULL_VALUE,9
findbugs:UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,9
pmd:SuspiciousEqualsMethodName,9
squid:S1215,9
findbugs:DM_BOOLEAN_CTOR,9
pmd:StringInstantiation,9
squid:S2638,9
pmd:UselessStringValueOf,9
pmd:CloneMethodMustImplementCloneable,8
squid:S1862,8
squid:S2676,8
pmd:AvoidCatchingNPE,8
squid:S2236,8
findbugs:UG_SYNC_SET_UNSYNC_GET,8
findbugs:NN_NAKED_NOTIFY,8
squid:S1221,7
findbugs:NP_NULL_PARAM_DEREF,7
squid:S2885,7
squid:S2157,7
pmd:StringToString,7
pmd:AvoidInstanceofChecksInCatchClause,7
pmd:AvoidArrayLoops,6
findbugs:UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,6
findbugs:EQ_COMPARETO_USE_OBJECT_EQUALS,6
findbugs:SE_BAD_FIELD,6
findbugs:NP_ALWAYS_NULL,6
findbugs:UUF_UNUSED_FIELD,6
findbugs:ES_COMPARING_PARAMETER_STRING_WITH_EQ,6
findbugs:NS_DANGEROUS_NON_SHORT_CIRCUIT,6
findbugs:RV_RETURN_VALUE_IGNORED,6
squid:S2225,6
checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanReturnCheck,6
findbugs:NP_NULL_ON_SOME_PATH_EXCEPTION,6
findbugs:DMI_INVOKING_TOSTRING_ON_ARRAY,6
findbugs:DM_EXIT,5
squid:S2677,5
squid:S1217,5
squid:S2681,5
findbugs:LI_LAZY_INIT_UPDATE_STATIC,5
squid:S2637,5
findbugs:MS_EXPOSE_REP,5
pmd:UnnecessaryCaseChange,5
squid:S2175,5
squid:S2118,5
findbugs:MS_MUTABLE_ARRAY,5
findbugs:EC_UNRELATED_CLASS_AND_INTERFACE,4
findbugs:DM_STRING_CTOR,4
pmd:InstantiationToGetClass,4
findbugs:NP_TOSTRING_COULD_RETURN_NULL,4
findbugs:MS_FINAL_PKGPROTECT,4
findbugs:DMI_HARDCODED_ABSOLUTE_FILENAME,4
findbugs:CN_IDIOM_NO_SUPER_CALL,4
findbugs:EQ_SELF_USE_OBJECT,4
pmd:MissingStaticMethodInNonInstantiatableClass,4
findbugs:EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS,4
squid:S1699,4
squid:S2055,4
findbugs:UWF_NULL_FIELD,4
findbugs:DC_DOUBLECHECK,3
findbugs:UW_UNCOND_WAIT,3
squid:S2077,3
findbugs:DM_GC,3
findbugs:GC_UNRELATED_TYPES,3
findbugs:IM_AVERAGE_COMPUTATION_COULD_OVERFLOW,3
findbugs:MF_CLASS_MASKS_FIELD,3
squid:S2694,3
findbugs:DM_BOXED_PRIMITIVE_TOSTRING,3
findbugs:RV_NEGATING_RESULT_OF_COMPARETO,3
findbugs:INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,3
squid:S2384,3
findbugs:NP_NULL_ON_SOME_PATH_MIGHT_BE_INFEASIBLE,3
findbugs:SR_NOT_CHECKED,3
findbugs:RR_NOT_CHECKED,3
findbugs:WA_NOT_IN_LOOP,2
findbugs:RV_DONT_JUST_NULL_CHECK_READLINE,2
squid:S109,2
findbugs:BIT_SIGNED_CHECK,2
findbugs:DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,2
squid:S2185,2
squid:S2060,2
findbugs:NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE,2
findbugs:RpC_REPEATED_CONDITIONAL_TEST,2
squid:S1643,2
findbugs:ML_SYNC_ON_UPDATED_FIELD,2
pmd:UnconditionalIfStatement,2
findbugs:HE_EQUALS_NO_HASHCODE,2
findbugs:CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,2
findbugs:FE_FLOATING_POINT_EQUALITY,2
findbugs:NP_GUARANTEED_DEREF_ON_EXCEPTION_PATH,2
findbugs:DM_NEW_FOR_GETCLASS,2
squid:S1219,2
squid:S2442,2
findbugs:DMI_ENTRY_SETS_MAY_REUSE_ENTRY_OBJECTS,2
findbugs:IMSE_DONT_CATCH_IMSE,2
findbugs:SA_FIELD_DOUBLE_ASSIGNMENT,2
findbugs:DM_STRING_VOID_CTOR,2
findbugs:VA_FORMAT_STRING_USES_NEWLINE,2
squid:S2159,2
squid:S2276,2
squid:S1174,2
squid:S2235,2
squid:S2116,2
findbugs:NM_FIELD_NAMING_CONVENTION,2
squid:S138,1
findbugs:NP_BOOLEAN_RETURN_NULL,1
findbugs:NP_GUARANTEED_DEREF,1
findbugs:SC_START_IN_CTOR,1
findbugs:LG_LOST_LOGGER_DUE_TO_WEAK_REFERENCE,1
pmd:FinalizeDoesNotCallSuperFinalize,1
findbugs:DM_NEXTINT_VIA_NEXTDOUBLE,1
findbugs:EC_UNRELATED_TYPES_USING_POINTER_EQUALITY,1
squid:S2066,1
pmd:ClassCastExceptionWithToArray,1
findbugs:DB_DUPLICATE_BRANCHES,1
findbugs:BC_IMPOSSIBLE_DOWNCAST_OF_TOARRAY,1
findbugs:RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,1
findbugs:EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,1
findbugs:IT_NO_SUCH_ELEMENT,1
findbugs:BX_BOXING_IMMEDIATELY_UNBOXED_TO_PERFORM_COERCION,1
squid:S2970,1
squid:S1943,1
findbugs:BC_UNCONFIRMED_CAST,1
